slug,storm_name,r_bin_km,phi_mean,n_tiles_mean,n_tiles_crisis_mean,n_tiles_overlap_mean,baseline_sum_mean,crisis_sum_mean,n_eff_mean,r_center_km,abs_dev
hurricane_milton_across_florida_us,Milton,180.0,1.1573508501829577,304.5,319.25,297.5,51356.27973256192,59456.27728949094,304.5,185.0,0.1573508501829577
hurricane_milton_across_florida_us,Milton,190.0,1.1336622681097683,262.5,273.0,255.25,92419.45127927032,104810.09803471516,262.5,195.0,0.13366226810976833
hurricane_milton_across_florida_us,Milton,200.0,1.1710450528918466,248.25,268.75,245.25,77716.04580776073,90985.91165279815,248.25,205.0,0.17104505289184657
hurricane_milton_across_florida_us,Milton,210.0,1.1880398884743126,211.5,229.5,208.75,53934.83023998128,64012.61565268626,211.5,215.0,0.18803988847431263
hurricane_milton_across_florida_us,Milton,220.0,1.1658517954939638,218.5,226.0,216.0,54324.87633607605,63347.01396788253,218.5,225.0,0.16585179549396378
hurricane_milton_across_florida_us,Milton,230.0,1.1575345057345305,226.75,231.5,225.25,107943.84991325962,124968.35277858445,226.75,235.0,0.15753450573453054
hurricane_milton_across_florida_us,Milton,240.0,1.154288339127381,156.75,165.0,156.5,127418.71206769362,147088.82630615588,156.75,245.0,0.15428833912738105
hurricane_milton_across_florida_us,Milton,250.0,1.1400541153873889,125.0,125.5,123.75,138455.23410316577,157849.0850669684,125.0,255.0,0.14005411538738888
hurricane_milton_across_florida_us,Milton,260.0,1.1243693476740033,105.25,102.25,101.0,189197.2264756617,212775.52579122776,102.25,265.0,0.12436934767400332
hurricane_milton_across_florida_us,Milton,270.0,1.1284525090997943,117.75,117.5,116.75,242149.93321539927,273281.36822257494,117.5,275.0,0.12845250909979433
hurricane_milton_across_florida_us,Milton,280.0,1.117020738618194,115.25,113.0,111.25,113811.96095604025,127142.77050643455,113.0,285.0,0.11702073861819406
hurricane_milton_across_florida_us,Milton,290.0,1.178009678058648,53.75,54.5,51.5,23902.047827412014,28068.515937343407,53.75,295.0,0.17800967805864798
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,0.0,1.0681307849193922,931.75,930.0,855.0,42605.899728322984,45542.72610362945,930.0,5.0,0.06813078491939217
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,10.0,1.0489949653591892,730.0,748.5,655.25,55418.4074671516,58139.018511246555,730.0,15.0,0.048994965359189235
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,20.0,1.1246480293481698,778.0,760.5,707.75,41463.2253761613,46643.24433269388,760.5,25.0,0.12464802934816976
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,30.0,1.056114845282533,814.75,756.25,698.5,67979.14336981926,71803.31127875923,756.25,35.0,0.05611484528253308
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,40.0,1.0531199191328964,1006.75,969.25,916.75,93140.49242409779,98098.42089659235,969.25,45.0,0.053119919132896376
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,50.0,1.0769129904405192,919.75,862.5,811.0,77036.35201620303,82974.77699721436,862.5,55.0,0.07691299044051925
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,60.0,1.076289079016838,926.25,869.75,818.0,94462.08116671874,101665.26729995894,869.75,65.0,0.07628907901683801
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,70.0,1.0714894271901927,956.5,824.75,776.25,116105.56062065667,124397.21592641628,824.75,75.0,0.07148942719019269
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,80.0,1.0601910705571187,1111.75,992.25,947.25,150187.52323560743,159235.49424138496,992.25,85.0,0.0601910705571187
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,90.0,1.0587230497227547,1013.0,967.75,921.5,187945.28019299742,198975.8325968559,967.75,95.0,0.05872304972275466
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,Helene,100.0,1.0495321782571705,915.75,885.0,846.75,210644.20089841477,221042.4900335095,885.0,105.0,0.04953217825717049
