slug,name,event_type,r_band_start_km,n_obs,mean,median,r_band_end_km,r_band_center_km
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,400.0,40,859.325,863.5,450.0,425.0
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",flood,450.0,40,792.5,769.5,500.0,475.0
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",flood,0.0,30,12.866666666666667,13.0,50.0,25.0
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",flood,50.0,35,25.17142857142857,25.0,100.0,75.0
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",flood,100.0,35,54.2,30.0,150.0,125.0
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",flood,150.0,35,193.4857142857143,179.0,200.0,175.0
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",flood,200.0,35,133.74285714285713,128.0,250.0,225.0
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",flood,250.0,35,63.51428571428571,75.0,300.0,275.0
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",flood,300.0,35,23.142857142857142,27.0,350.0,325.0
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",flood,350.0,24,1.75,2.0,400.0,375.0
the_flooding_in_conakry_city_conakry_guinea,"The Flooding in Conakry City, Conakry, Guinea",flood,0.0,65,21.26153846153846,14.0,50.0,25.0
the_flooding_in_conakry_city_conakry_guinea,"The Flooding in Conakry City, Conakry, Guinea",flood,50.0,65,8.107692307692307,9.0,100.0,75.0
the_flooding_in_conakry_city_conakry_guinea,"The Flooding in Conakry City, Conakry, Guinea",flood,100.0,52,5.519230769230769,2.0,150.0,125.0
the_flooding_in_conakry_city_conakry_guinea,"The Flooding in Conakry City, Conakry, Guinea",flood,150.0,65,11.76923076923077,5.0,200.0,175.0
the_flooding_in_conakry_city_conakry_guinea,"The Flooding in Conakry City, Conakry, Guinea",flood,200.0,26,1.9230769230769231,2.0,250.0,225.0
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,0.0,75,94.36,66.0,50.0,25.0
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,50.0,75,316.97333333333336,304.0,100.0,75.0
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,100.0,75,399.5733333333333,390.0,150.0,125.0
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,150.0,75,264.76,254.0,200.0,175.0
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,200.0,75,144.97333333333333,144.0,250.0,225.0
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,250.0,75,48.44,54.0,300.0,275.0
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,300.0,75,8.173333333333334,8.0,350.0,325.0
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,350.0,75,2.68,3.0,400.0,375.0
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",wildfire,400.0,20,0.9,1.0,450.0,425.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,0.0,75,113.41333333333333,105.0,50.0,25.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,50.0,75,397.14666666666665,369.0,100.0,75.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,100.0,75,349.0933333333333,336.0,150.0,125.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,150.0,75,780.6533333333333,687.0,200.0,175.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,200.0,75,1022.44,1055.0,250.0,225.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,250.0,75,1260.8266666666666,1305.0,300.0,275.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,300.0,75,1759.8133333333333,1793.0,350.0,325.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,350.0,75,1845.7866666666666,1858.0,400.0,375.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,400.0,75,1666.44,1667.0,450.0,425.0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,450.0,75,1713.44,1727.0,500.0,475.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,0.0,60,177.25,159.5,50.0,25.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,50.0,60,281.3833333333333,258.5,100.0,75.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,100.0,60,381.6666666666667,394.0,150.0,125.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,150.0,60,320.21666666666664,335.0,200.0,175.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,200.0,60,263.48333333333335,265.5,250.0,225.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,250.0,60,156.31666666666666,152.0,300.0,275.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,300.0,60,183.15,181.0,350.0,325.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,350.0,60,77.66666666666667,80.5,400.0,375.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,400.0,60,70.38333333333334,57.5,450.0,425.0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",tropical_storm,450.0,60,74.18333333333334,74.0,500.0,475.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,0.0,48,142.66666666666666,141.5,50.0,25.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,50.0,60,314.3,311.5,100.0,75.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,100.0,60,290.0,290.0,150.0,125.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,150.0,60,314.7,323.0,200.0,175.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,200.0,60,327.4,331.5,250.0,225.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,250.0,60,414.35,426.0,300.0,275.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,300.0,60,293.96666666666664,294.5,350.0,325.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,350.0,60,253.95,254.0,400.0,375.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,400.0,60,308.75,287.0,450.0,425.0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,450.0,60,281.75,285.5,500.0,475.0
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,0.0,75,164.25333333333333,175.0,50.0,25.0
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,50.0,75,385.73333333333335,387.0,100.0,75.0
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,100.0,75,368.3066666666667,379.0,150.0,125.0
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,150.0,75,339.68,375.0,200.0,175.0
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,200.0,75,262.1066666666667,268.0,250.0,225.0
tropical_storm_yagi_philippines_2_september_2024,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,250.0,75,207.56,210.0,300.0,275.0
