slug,event_type,r_bin_km,phi_aggregate_mean,phi_overlap_mean,n_rows,mean_n_tiles_overlap,frac_phi_overlap_zero,frac_phi_overlap_nan,time_min_hours,time_max_hours
hurricane_beryl_pre_landfall_2024,hurricane,280.0,1.0183990256694948,1.012779610136009,2,31.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,290.0,1.0029380030945365,0.997006480905275,2,27.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,300.0,0.9538254660712149,0.9538254660712149,2,17.0,0.0,0.0,24.0,72.0
hurricane_beryl_pre_landfall_2024,hurricane,310.0,0.8647707607266483,0.9608253339789836,2,2.5,0.0,0.0,24.0,72.0
hurricane_ernesto_puerto_rico_14_august_2024,hurricane,0.0,1.020552149539813,1.020552149539813,2,60.0,0.0,0.0,24.0,72.0
hurricane_ernesto_puerto_rico_14_august_2024,hurricane,10.0,1.0434057573930537,1.0439521755748862,2,171.0,0.0,0.0,24.0,72.0
hurricane_ernesto_puerto_rico_14_august_2024,hurricane,20.0,1.0576529035312423,1.0566731802301774,2,240.0,0.0,0.0,24.0,72.0
hurricane_ernesto_puerto_rico_14_august_2024,hurricane,30.0,1.0636856414175258,1.0639998507259865,2,281.5,0.0,0.0,24.0,72.0
hurricane_ernesto_puerto_rico_14_august_2024,hurricane,40.0,1.0307172311449597,1.0326367011211386,2,239.0,0.0,0.0,24.0,72.0
hurricane_ernesto_puerto_rico_14_august_2024,hurricane,50.0,0.9966069549113644,0.9977480910306592,2,208.5,0.0,0.0,24.0,72.0
hurricane_ernesto_puerto_rico_14_august_2024,hurricane,60.0,0.9610294156778254,0.972087514751923,2,171.5,0.0,0.0,24.0,72.0
hurricane_ernesto_puerto_rico_14_august_2024,hurricane,70.0,0.9619732650005821,0.9683695437624051,2,146.5,0.0,0.0,24.0,72.0
hurricane_ernesto_puerto_rico_14_august_2024,hurricane,80.0,1.0140151984491812,1.0143414883781596,2,114.5,0.0,0.0,24.0,72.0
hurricane_ernesto_puerto_rico_14_august_2024,hurricane,90.0,0.8217241774175591,0.8368966463299279,2,49.0,0.0,0.0,24.0,72.0
hurricane_ernesto_puerto_rico_14_august_2024,hurricane,100.0,0.8514480125262691,0.9347392576571327,2,4.5,0.0,0.0,24.0,72.0
hurricane_ernesto_puerto_rico_14_august_2024,hurricane,110.0,0.8018056769824493,0.8155024812056884,2,6.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,10.0,0.8912247688136166,0.9815417038699036,2,33.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,20.0,1.0265460821875707,1.0180237273210333,2,94.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,30.0,0.8979134604390963,0.8687304577178354,2,94.5,0.0,0.0,24.0,72.0
