window_start_pt,hours_since_quake,r_bin_km,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,path_sector_occupied,phi_aggregate,phi_overlap,tile_overlap_ratio,path_coverage_frac
2024-07-23 08:00:00,495.0,120.0,34,33,33,14349.98287275007,13373.0461229963,14315.655204584113,13373.0461229963,1,0.9319207027341527,0.9341553657085864,0.9705882352941176,0.08333333333333333
2024-07-23 08:00:00,495.0,130.0,45,45,45,5889.71396330475,5505.40416988999,5889.71396330475,5505.40416988999,1,0.9347489885231843,0.9347489885231843,1.0,0.08333333333333333
2024-07-23 08:00:00,495.0,140.0,26,24,24,1337.029663520704,1255.2268272803688,1312.533140374797,1255.2268272803688,2,0.9388174859001036,0.9563391495942994,0.9230769230769231,0.16666666666666666
2024-07-23 08:00:00,495.0,150.0,12,12,11,443.0845546112578,452.2098837501178,432.71708287037313,442.09559668403085,2,1.0205950061763407,1.0216735464924254,0.9166666666666666,0.16666666666666666
2024-07-23 08:00:00,495.0,160.0,71,71,69,5796.3993914768425,5503.558515704439,5770.2451313606025,5477.194403441254,2,0.9494788305645392,0.9492134699223344,0.971830985915493,0.16666666666666666
2024-07-23 08:00:00,495.0,170.0,135,130,129,58391.36611516465,55918.746178967864,58087.21605843972,55904.98708868365,2,0.9576543571301266,0.9624318547550876,0.9555555555555556,0.16666666666666666
2024-07-23 08:00:00,495.0,180.0,93,91,90,22228.25380467685,21355.298908468492,22143.118702554908,21340.58101578744,2,0.9607276890088107,0.9637567906514058,0.967741935483871,0.16666666666666666
2024-07-23 08:00:00,495.0,190.0,69,66,66,14046.333701439535,13376.055771088437,13666.658403823452,13376.055771088437,2,0.9522809336159794,0.9787363798707579,0.9565217391304348,0.16666666666666666
2024-07-23 08:00:00,495.0,200.0,76,78,76,11109.674732278729,10823.361098660227,11109.674732278729,10789.19626302647,2,0.9742284413794197,0.9711532086244504,1.0,0.16666666666666666
2024-07-23 08:00:00,495.0,210.0,54,54,54,17994.847230054358,17152.75685477958,17994.847230054358,17152.75685477958,1,0.953203805261078,0.953203805261078,1.0,0.08333333333333333
2024-07-23 08:00:00,495.0,220.0,73,73,71,13435.171922030551,13082.82774456743,13379.754345156814,13056.15703061936,1,0.9737744943266889,0.9758144053926828,0.9726027397260274,0.08333333333333333
2024-07-23 08:00:00,495.0,230.0,64,59,59,6667.361267195965,6220.2226869594415,6592.846794917536,6220.2226869594415,1,0.9329362003471318,0.9434805449680171,0.921875,0.08333333333333333
2024-07-23 08:00:00,495.0,240.0,22,22,21,727.3477350476596,685.9285604387575,711.91560025682,675.2898165059645,1,0.943054508025397,0.9485531940336145,0.9545454545454546,0.08333333333333333
2024-07-23 08:00:00,495.0,250.0,2,2,2,46.93917993636589,41.33203401820835,46.93917993636589,41.33203401820835,1,0.8805444422812885,0.8805444422812885,1.0,0.08333333333333333
2024-07-24 08:00:00,519.0,0.0,1,1,1,71.1680984721881,39.1454195328555,71.1680984721881,39.1454195328555,1,0.5500416671685165,0.5500416671685165,1.0,0.08333333333333333
2024-07-24 08:00:00,519.0,10.0,12,10,9,529.819533246501,281.45007907810725,469.709990096737,262.80441201970365,2,0.5312187668006595,0.5595035608367175,0.75,0.16666666666666666
2024-07-24 08:00:00,519.0,20.0,29,24,22,2021.1201425409752,1603.8243978341352,1803.1869864330833,1542.4748570564107,2,0.7935324397973635,0.8554159211783177,0.7586206896551724,0.16666666666666666
2024-07-24 08:00:00,519.0,30.0,32,28,28,2615.401010785151,2463.7077154583662,2557.8046151662893,2463.7077154583662,2,0.9419999859672586,0.9632118500568874,0.875,0.16666666666666666
2024-07-24 08:00:00,519.0,40.0,25,22,22,6539.823465785494,6367.385225465751,6480.31455900634,6367.385225465751,2,0.9736325848515804,0.9825734796494348,0.88,0.16666666666666666
2024-07-24 08:00:00,519.0,50.0,1,1,1,175.49303634714263,154.3399081831458,175.49303634714263,154.3399081831458,1,0.8794645724736687,0.8794645724736687,1.0,0.08333333333333333
2024-07-24 08:00:00,519.0,60.0,3,3,3,228.98104793738833,243.9068420773702,228.98104793738833,243.9068420773702,1,1.065183534945054,1.065183534945054,1.0,0.08333333333333333
2024-07-24 08:00:00,519.0,70.0,6,5,5,544.3946660383151,391.67247592728074,512.5682934661563,391.67247592728074,1,0.7194642055874119,0.7641371519074306,0.8333333333333334,0.08333333333333333
2024-07-24 08:00:00,519.0,80.0,7,7,5,635.8309316549474,603.1701910494477,610.2886996935974,581.2061131084383,2,0.9486329793354186,0.9523461820614402,0.7142857142857143,0.16666666666666666
2024-07-24 08:00:00,519.0,90.0,47,48,47,7933.274229200908,7378.388232271519,7933.274229200908,7362.779570090757,2,0.9300558658508291,0.928088372766661,1.0,0.16666666666666666
2024-07-24 08:00:00,519.0,100.0,42,42,42,6227.817154978092,6197.3964933020425,6227.817154978092,6197.3964933020425,2,0.9951153572882703,0.9951153572882703,1.0,0.16666666666666666
2024-07-24 08:00:00,519.0,110.0,11,11,11,1082.701173474696,1105.6588470156546,1082.701173474696,1105.6588470156546,2,1.0212040719114408,1.0212040719114408,1.0,0.16666666666666666
2024-07-24 08:00:00,519.0,120.0,34,34,34,14128.042873143333,13341.691628297629,14128.042873143333,13341.691628297629,1,0.9443411057068268,0.9443411057068268,1.0,0.08333333333333333
2024-07-24 08:00:00,519.0,130.0,45,45,45,5829.742449545229,5379.065285373747,5829.742449545229,5379.065285373747,1,0.9226934692103529,0.9226934692103529,1.0,0.08333333333333333
2024-07-24 08:00:00,519.0,140.0,26,26,26,1326.5176110335751,1278.034451599211,1326.5176110335751,1278.034451599211,2,0.9634507985185453,0.9634507985185453,1.0,0.16666666666666666
2024-07-24 08:00:00,519.0,150.0,11,11,10,419.36802178554535,394.0398361357385,408.8158914270518,382.8742184151507,2,0.9396039174804819,0.9365443624969015,0.9090909090909091,0.16666666666666666
2024-07-24 08:00:00,519.0,160.0,71,70,69,5855.960651819118,5590.532390839794,5812.601912896011,5576.39959919974,2,0.9546738312019105,0.9593637552965351,0.971830985915493,0.16666666666666666
2024-07-24 08:00:00,519.0,170.0,136,130,129,57057.844567562,55056.526589335044,56729.49066685299,55043.67786653491,2,0.964924753232534,0.9702833080201954,0.9485294117647058,0.16666666666666666
2024-07-24 08:00:00,519.0,180.0,94,93,90,21948.82927319548,21223.707783627033,21856.513595970035,21184.057699294026,2,0.9669630903524324,0.9692331581739552,0.9574468085106383,0.16666666666666666
2024-07-24 08:00:00,519.0,190.0,70,68,68,14060.054020257281,13368.671610446147,13804.746499433752,13368.671610446147,2,0.9508264755729237,0.9684112352946509,0.9714285714285714,0.16666666666666666
2024-07-24 08:00:00,519.0,200.0,77,77,77,10993.467520481403,10656.847323605261,10993.467520481403,10656.847323605261,2,0.9693799798608582,0.9693799798608582,1.0,0.16666666666666666
2024-07-24 08:00:00,519.0,210.0,54,54,54,17692.009108902632,16939.260827219805,17692.009108902632,16939.260827219805,1,0.9574526399433039,0.9574526399433039,1.0,0.08333333333333333
2024-07-24 08:00:00,519.0,220.0,73,75,71,13471.536168026838,12936.930582686931,13422.825860465431,12876.779349569766,1,0.9603159150766538,0.9593195563607847,0.9726027397260274,0.08333333333333333
2024-07-24 08:00:00,519.0,230.0,62,59,59,6645.6615678874605,6222.074722211379,6603.378412481388,6222.074722211379,1,0.9362611470131283,0.9422562714944084,0.9516129032258065,0.08333333333333333
2024-07-24 08:00:00,519.0,240.0,22,22,21,733.4550195406968,701.2680799790713,719.069179219733,690.3004401068239,1,0.9561160007033812,0.9599916948962738,0.9545454545454546,0.08333333333333333
2024-07-24 08:00:00,519.0,250.0,2,2,2,48.196199142447576,39.10848618073798,48.196199142447576,39.10848618073798,1,0.8114433684936406,0.8114433684936406,1.0,0.08333333333333333
2024-07-25 08:00:00,543.0,0.0,1,2,1,73.52990560310425,53.29788642831513,73.52990560310425,41.39228669580362,1,0.7248463872101724,0.5629313183023608,1.0,0.08333333333333333
2024-07-25 08:00:00,543.0,10.0,12,10,10,528.1406473481135,284.18308251256036,494.76266753848176,284.18308251256036,2,0.5380822020412428,0.5743826306184613,0.8333333333333334,0.16666666666666666
2024-07-25 08:00:00,543.0,20.0,30,25,24,2033.7842554435426,1733.466180457814,1883.364224265061,1706.4711978042728,2,0.8523353329233867,0.9060760397900112,0.8,0.16666666666666666
2024-07-25 08:00:00,543.0,30.0,32,28,28,2615.043494807056,2466.103667380197,2562.9449978927464,2466.103667380197,2,0.9430449903710499,0.9622148229508739,0.875,0.16666666666666666
2024-07-25 08:00:00,543.0,40.0,25,22,22,6472.031579155506,6386.422780695138,6412.457460798752,6386.422780695138,2,0.9867724998845666,0.9959399839667128,0.88,0.16666666666666666
2024-07-25 08:00:00,543.0,50.0,1,1,1,171.7840122584851,154.25973310943553,171.7840122584851,154.25973310943553,1,0.8979865534711077,0.8979865534711077,1.0,0.08333333333333333
2024-07-25 08:00:00,543.0,60.0,3,3,3,218.82022198400088,228.62049643989792,218.82022198400088,228.62049643989792,1,1.0447868774057527,1.0447868774057527,1.0,0.08333333333333333
2024-07-25 08:00:00,543.0,70.0,7,5,5,533.8031842540178,399.00732346193547,493.73248425123415,399.00732346193547,1,0.7474802234826352,0.8081447670331975,0.7142857142857143,0.08333333333333333
2024-07-25 08:00:00,543.0,80.0,7,7,5,633.1094189733726,604.889727630192,609.2063874317828,584.2641065959808,2,0.9554268338181723,0.9590577489823268,0.7142857142857143,0.16666666666666666
