window_start_pt,hours_since_quake,only_hour_pt,distance_band,n_od,start_sum,end_sum,same_sum,N_out,N_in,Net,phi_aggregate,baseline_mean_overlap,crisis_mean_overlap,phi_mean_overlap_ratio,phi_mean_overlap_minus_1
2024-08-12 08:00:00,328.0,8,0-25km,227,29457.0,29391.0,29247.0,210.0,144.0,-66.0,1.0260172862731216,260.532980620662,268.25812798160126,1.0296513222338908,0.029651322233890776
2024-08-12 08:00:00,328.0,8,25-50km,986,115159.0,115349.0,114863.0,296.0,486.0,190.0,1.0197646189531155,312.283679182486,318.9759655650698,1.0214301509451382,0.021430150945138227
2024-08-12 08:00:00,328.0,8,50-100km,1200,81017.0,81069.0,80064.0,953.0,1005.0,52.0,1.0295156336837228,118.84521683977796,122.31145735383716,1.0291660077387232,0.029166007738723243
2024-08-12 08:00:00,328.0,8,100-200km,4143,346502.0,346006.0,345278.0,1224.0,728.0,-496.0,1.0282218558948937,222.43225846976696,228.72416405816043,1.0282868394704927,0.02828683947049271
2024-08-12 08:00:00,328.0,8,200km+,958,47087.0,47407.0,47036.0,51.0,371.0,320.0,1.0202819073826923,90.36508818617898,91.784457279946,1.0157070514980597,0.015707051498059732
2024-08-13 08:00:00,352.0,8,0-25km,246,28998.0,28928.0,28703.0,295.0,225.0,-70.0,1.0402120716418826,263.6788900421973,275.28558037882726,1.044018276680293,0.04401827668029301
2024-08-13 08:00:00,352.0,8,25-50km,1063,113775.0,114092.0,113421.0,354.0,671.0,317.0,1.0253908015502238,315.0359896278472,323.50645413275566,1.0268872915596554,0.026887291559655413
2024-08-13 08:00:00,352.0,8,50-100km,1234,79615.0,79566.0,78446.0,1169.0,1120.0,-49.0,1.0333095999884228,119.2248653478035,122.93532950687914,1.0311215630082824,0.031121563008282394
2024-08-13 08:00:00,352.0,8,100-200km,4381,342822.0,342253.0,341425.0,1397.0,828.0,-569.0,1.0319663808407604,223.62387465905348,230.551413765453,1.030978530878966,0.03097853087896607
2024-08-13 08:00:00,352.0,8,200km+,961,46248.0,46619.0,46213.0,35.0,406.0,371.0,1.0275244832136334,90.91636274761456,92.9679287221855,1.0225654207072288,0.022565420707228778
2024-08-14 08:00:00,376.0,8,0-25km,244,29750.0,29624.0,29429.0,321.0,195.0,-126.0,1.0617589215375507,255.8461611065673,272.1265124457909,1.0636333618171523,0.06363336181715229
2024-08-14 08:00:00,376.0,8,25-50km,1086,117651.0,117931.0,117311.0,340.0,620.0,280.0,1.04859819508262,311.2197776527359,326.38324596200783,1.0487227014415246,0.048722701441524574
2024-08-14 08:00:00,376.0,8,50-100km,1253,82824.0,82844.0,81644.0,1180.0,1200.0,20.0,1.0628610997387635,118.0814875182807,124.85320569661872,1.05734783936635,0.05734783936635002
2024-08-14 08:00:00,376.0,8,100-200km,4549,356031.0,355480.0,354555.0,1476.0,925.0,-551.0,1.0569523518554151,223.10037353177808,235.96202869538917,1.057649635274049,0.05764963527404898
2024-08-14 08:00:00,376.0,8,200km+,996,47656.0,48033.0,47612.0,44.0,421.0,377.0,1.0527497410184898,89.92213711020419,93.87301715797086,1.043936678717107,0.043936678717106936
