ds,hours_since_quake,band,n_polygons,activity_mean
2023-03-09,752.0,25-50km,39,0.27480365760341924
2023-03-09,752.0,50-100km,72,0.2627208802669194
2023-03-10,776.0,0-25km,3,0.25420555455065824
2023-03-10,776.0,100-200km,173,0.2558768952775506
2023-03-10,776.0,200km+,3105,0.521256205397323
2023-03-10,776.0,25-50km,39,0.2876470039161354
2023-03-10,776.0,50-100km,72,0.2685162845247761
2023-03-11,800.0,0-25km,3,0.25420555455065813
2023-03-11,800.0,100-200km,173,0.2606473536624285
2023-03-11,800.0,200km+,3105,0.5266667566029574
2023-03-11,800.0,25-50km,39,0.29491788983533634
2023-03-11,800.0,50-100km,72,0.2626298853365079
2023-03-12,824.0,0-25km,3,0.25420555455065824
2023-03-12,824.0,100-200km,173,0.2549228493331726
2023-03-12,824.0,200km+,3105,0.5075320818929784
2023-03-12,824.0,25-50km,39,0.2862090262824495
2023-03-12,824.0,50-100km,72,0.258599019464044
2023-03-13,848.0,0-25km,3,0.2694845521598897
2023-03-13,848.0,100-200km,173,0.25028065277387246
2023-03-13,848.0,200km+,3105,0.49112552822194006
2023-03-13,848.0,25-50km,39,0.26971785602719806
2023-03-13,848.0,50-100km,72,0.2542805172368314
2023-03-14,872.0,0-25km,3,0.2708268852504645
2023-03-14,872.0,100-200km,173,0.24001034399648802
2023-03-14,872.0,200km+,3105,0.46594841683626836
2023-03-14,872.0,25-50km,39,0.2439391993696119
2023-03-14,872.0,50-100km,72,0.24464573689243915
2023-03-15,896.0,0-25km,3,0.24738698779923882
2023-03-15,896.0,100-200km,173,0.22795656769744665
2023-03-15,896.0,200km+,3105,0.43592313886237843
2023-03-15,896.0,25-50km,39,0.2216395277949841
2023-03-15,896.0,50-100km,72,0.23956283684028148
2023-03-16,920.0,0-25km,3,0.24157963442031094
2023-03-16,920.0,100-200km,173,0.23290432365764993
2023-03-16,920.0,200km+,3105,0.4384258285217369
2023-03-16,920.0,25-50km,39,0.23539188052944932
2023-03-16,920.0,50-100km,72,0.2475404742214928
2023-03-17,944.0,0-25km,3,0.257143134672994
2023-03-17,944.0,100-200km,173,0.25246929030395565
2023-03-17,944.0,200km+,3105,0.4757315113210926
2023-03-17,944.0,25-50km,39,0.2620747519334168
2023-03-17,944.0,50-100km,72,0.2713753626453279
2023-03-18,968.0,0-25km,3,0.26495611215234943
2023-03-18,968.0,100-200km,173,0.27807699366768374
2023-03-18,968.0,200km+,3105,0.5192744498526717
2023-03-18,968.0,25-50km,39,0.29433015503252585
2023-03-18,968.0,50-100km,72,0.29668816850375657
2023-03-19,992.0,0-25km,3,0.26731913292528015
2023-03-19,992.0,100-200km,173,0.27572759932809654
2023-03-19,992.0,200km+,3105,0.5133579096667107
2023-03-19,992.0,25-50km,39,0.29492922661572263
2023-03-19,992.0,50-100km,72,0.29253998160838157
2023-03-20,1016.0,0-25km,3,0.23558302012252655
2023-03-20,1016.0,100-200km,173,0.28097415410638016
2023-03-20,1016.0,200km+,3105,0.5136095532402503
2023-03-20,1016.0,25-50km,39,0.3098223299219715
2023-03-20,1016.0,50-100km,72,0.3016450950129892
2023-03-21,1040.0,0-25km,3,0.2320970576446971
2023-03-21,1040.0,100-200km,173,0.28579444228952827
2023-03-21,1040.0,200km+,3105,0.513438145943341
2023-03-21,1040.0,25-50km,39,0.3229657776504889
2023-03-21,1040.0,50-100km,72,0.30230525833963356
2023-03-22,1064.0,0-25km,3,0.231249884233201
2023-03-22,1064.0,100-200km,173,0.32009170098867223
2023-03-22,1064.0,200km+,3105,0.5499168151536992
2023-03-22,1064.0,25-50km,39,0.3881533235655689
2023-03-22,1064.0,50-100km,72,0.32425743179624056
2023-03-23,1088.0,0-25km,3,0.22710487594071602
2023-03-23,1088.0,100-200km,173,0.32860969479227176
2023-03-23,1088.0,200km+,3105,0.55588224966361
2023-03-23,1088.0,25-50km,39,0.3986578601634937
2023-03-23,1088.0,50-100km,72,0.3331240447038045
2023-03-24,1112.0,0-25km,3,0.2177583556400523
2023-03-24,1112.0,100-200km,173,0.3143249628480249
2023-03-24,1112.0,200km+,3105,0.5215100693189654
2023-03-24,1112.0,25-50km,39,0.38601700751645635
2023-03-24,1112.0,50-100km,72,0.3219640174951069
2023-03-25,1136.0,0-25km,3,0.23739554468292948
2023-03-25,1136.0,100-200km,173,0.29048474934814794
2023-03-25,1136.0,200km+,3105,0.4751020553643719
2023-03-25,1136.0,25-50km,39,0.3608637550272547
2023-03-25,1136.0,50-100km,72,0.30751899790297976
2023-03-26,1160.0,0-25km,3,0.23856451299095602
2023-03-26,1160.0,100-200km,173,0.29572023145581716
2023-03-26,1160.0,200km+,3105,0.47307091352686564
2023-03-26,1160.0,25-50km,39,0.3634713977552494
2023-03-26,1160.0,50-100km,72,0.3144517479794945
2023-03-27,1184.0,0-25km,3,0.2423517131751999
2023-03-27,1184.0,100-200km,173,0.2913902608146099
2023-03-27,1184.0,200km+,3105,0.4676982208646943
2023-03-27,1184.0,25-50km,39,0.3613514700231749
2023-03-27,1184.0,50-100km,72,0.31462477004916606
2023-03-28,1208.0,0-25km,3,0.24548110220927033
2023-03-28,1208.0,100-200km,173,0.2796531488697837
2023-03-28,1208.0,200km+,3105,0.4502058440431782
2023-03-28,1208.0,25-50km,39,0.35137251927230334
2023-03-28,1208.0,50-100km,72,0.31645726104379085
2023-03-29,1232.0,0-25km,3,0.24503164362542104
2023-03-29,1232.0,100-200km,173,0.25051917020332604
2023-03-29,1232.0,200km+,3105,0.4108128894046046
2023-03-29,1232.0,25-50km,39,0.29965178620909316
2023-03-29,1232.0,50-100km,72,0.29276646572434895
2023-03-30,1256.0,0-25km,3,0.23868173100375203
2023-03-30,1256.0,100-200km,173,0.2503488257471142
2023-03-30,1256.0,200km+,3105,0.40183900040329795
2023-03-30,1256.0,25-50km,39,0.2874167977030482
2023-03-30,1256.0,50-100km,72,0.2938637548962988
2023-03-31,1280.0,0-25km,3,0.27650608830058937
2023-03-31,1280.0,100-200km,173,0.25187565539274703
2023-03-31,1280.0,200km+,3105,0.40329689373953304
2023-03-31,1280.0,25-50km,39,0.2991578088408225
2023-03-31,1280.0,50-100km,72,0.29238218336690786
2023-04-01,1304.0,0-25km,3,0.2777616308614954
2023-04-01,1304.0,100-200km,173,0.2558367110622676
2023-04-01,1304.0,200km+,3105,0.40693493746624376
2023-04-01,1304.0,25-50km,39,0.310730517235283
2023-04-01,1304.0,50-100km,72,0.2996981532039413
2023-04-02,1328.0,0-25km,3,0.3054264413358472
2023-04-02,1328.0,100-200km,173,0.256974448407781
2023-04-02,1328.0,200km+,3105,0.41121286496614146
2023-04-02,1328.0,25-50km,39,0.3165391571765177
2023-04-02,1328.0,50-100km,72,0.2964473198387499
2023-04-03,1352.0,0-25km,3,0.32500387126447156
2023-04-03,1352.0,100-200km,173,0.26065404486260235
2023-04-03,1352.0,200km+,3105,0.40954045393308003
2023-04-03,1352.0,25-50km,39,0.3112199182541247
2023-04-03,1352.0,50-100km,72,0.30030982499905823
2023-04-04,1376.0,0-25km,3,0.32540647131135786
2023-04-04,1376.0,100-200km,173,0.270375555540604
2023-04-04,1376.0,200km+,3105,0.4152993104584166
2023-04-04,1376.0,25-50km,39,0.3236531140999914
2023-04-04,1376.0,50-100km,72,0.30605820235739806
2023-04-05,1400.0,0-25km,3,0.3254064713113578
2023-04-05,1400.0,100-200km,173,0.2782803800912113
2023-04-05,1400.0,200km+,3105,0.42066929995862284
2023-04-05,1400.0,25-50km,39,0.3411828580493715
2023-04-05,1400.0,50-100km,72,0.31985132642197256
2023-04-06,1424.0,0-25km,3,0.3190493998741598
2023-04-06,1424.0,100-200km,173,0.28637962311829823
2023-04-06,1424.0,200km+,3105,0.42360974610270447
2023-04-06,1424.0,25-50km,39,0.35414241739159685
2023-04-06,1424.0,50-100km,72,0.3163035641268209
2023-04-07,1448.0,0-25km,3,0.314530212168479
2023-04-07,1448.0,100-200km,173,0.2890971125828871
2023-04-07,1448.0,200km+,3105,0.4262916202821711
2023-04-07,1448.0,25-50km,39,0.3588208277924123
2023-04-07,1448.0,50-100km,72,0.31987407919211985
2023-04-08,1472.0,0-25km,3,0.3071161339430873
2023-04-08,1472.0,100-200km,173,0.29322208843351283
2023-04-08,1472.0,200km+,3105,0.42760446555411386
2023-04-08,1472.0,25-50km,39,0.3674842931721504
2023-04-08,1472.0,50-100km,72,0.33198661555240716
2023-04-09,1496.0,0-25km,3,0.34089463884125415
2023-04-09,1496.0,100-200km,173,0.2939901526292459
2023-04-09,1496.0,200km+,3105,0.42663178991723155
2023-04-09,1496.0,25-50km,39,0.3638624147327316
2023-04-09,1496.0,50-100km,72,0.3353032421696888
2023-04-10,1520.0,0-25km,3,0.34869137305159353
2023-04-10,1520.0,100-200km,173,0.30312134799336193
2023-04-10,1520.0,200km+,3105,0.4355264037517859
2023-04-10,1520.0,25-50km,39,0.385631996739854
2023-04-10,1520.0,50-100km,72,0.3464721971099805
2023-04-11,1544.0,0-25km,3,0.3763561835259453
2023-04-11,1544.0,100-200km,173,0.3070672803020712
2023-04-11,1544.0,200km+,3105,0.43243402923223323
2023-04-11,1544.0,25-50km,39,0.374270564285005
2023-04-11,1544.0,50-100km,72,0.3489294265547621
2023-04-12,1568.0,0-25km,3,0.4204783511969743
2023-04-12,1568.0,100-200km,173,0.309228060323701
2023-04-12,1568.0,200km+,3105,0.4321862365580148
2023-04-12,1568.0,25-50km,39,0.3677059632611326
2023-04-12,1568.0,50-100km,72,0.3475222697190368
2023-04-13,1592.0,0-25km,3,0.44116339736754306
2023-04-13,1592.0,100-200km,173,0.3055868626978615
2023-04-13,1592.0,200km+,3105,0.4365176165480709
2023-04-13,1592.0,25-50km,39,0.36828951629722745
2023-04-13,1592.0,50-100km,72,0.3552179552218695
2023-04-14,1616.0,0-25km,3,0.4475650731277588
