window_start_pt,hours_since_quake,distance_band,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,baseline_mean,crisis_mean,tile_coverage_ratio,baseline_mean_overlap,crisis_mean_overlap,tile_overlap_ratio,net_change,phi_aggregate
2023-02-16 08:00:00,256.0,200km+,23675,24209,22110,5478987.019246623,5768638.441799796,5438475.230914765,5735480.414564004,231.42500609278238,238.28487099011923,1.0225554382259767,245.9735518278953,259.4066220969699,0.9338965153115101,289651.42255317327,1.0528658712889232
2023-02-16 08:00:00,256.0,25-50km,405,538,391,158181.6073603107,142851.5046640295,157735.9461169283,140076.37450029023,390.5718700254585,265.5232428699433,1.328395061728395,403.4167419870289,358.25159718744305,0.9654320987654321,-15330.102696281218,0.9030854285014195
2023-02-16 08:00:00,256.0,50-100km,665,1005,640,90413.32299826533,99246.03358452022,89943.51111494441,93244.57991821339,135.95988420791778,98.75227222340321,1.5112781954887218,140.53673611710065,145.69465612220841,0.9624060150375939,8832.710586254892,1.0976925777456974
2023-02-17 08:00:00,280.0,0-25km,70,112,69,3456.168824305588,4735.879525452349,3444.037361136194,4150.802204955633,49.37384034722268,42.284638620110265,1.6,49.91358494400281,60.15655369500917,0.9857142857142858,1279.7107011467615,1.370268573730301
2023-02-17 08:00:00,280.0,100-200km,1816,2408,1757,335055.522172083,338804.8431538154,333917.79337810643,328067.5364593609,184.50193952207212,140.69968569510607,1.3259911894273129,190.0499677735381,186.7202825608201,0.9675110132158591,3749.320981732453,1.0111901482996803
2023-02-17 08:00:00,280.0,200km+,23570,24230,22049,5323253.610813779,5726375.430642415,5280929.171663081,5689402.22365778,225.8486894702494,236.33410774421853,1.0280016970725498,239.5087836937313,258.034478827057,0.9354688162918965,403121.819828636,1.075728464075002
2023-02-17 08:00:00,280.0,25-50km,406,531,392,154207.02168839076,145106.9786296467,153734.46550368963,142565.52455293373,379.8202504640166,273.27114619519153,1.3078817733990147,392.17975893798376,363.687562635035,0.9655172413793104,-9100.04305874405,0.9409881407531968
2023-02-17 08:00:00,280.0,50-100km,667,998,641,88240.83384705502,98062.85819055364,87724.29845411942,92340.18214830059,132.29510321897305,98.25937694444252,1.4962518740629684,136.85537980361843,144.05644640920528,0.9610194902548725,9822.024343498619,1.1113092874952069
2023-02-18 08:00:00,304.0,0-25km,69,115,68,3304.5207132364917,4853.866796693332,3289.0721834927676,4183.39844752187,47.8916045396593,42.20753736255071,1.6666666666666667,48.368708580775994,61.52056540473339,0.9855072463768116,1549.34608345684,1.4688565204783932
2023-02-18 08:00:00,304.0,100-200km,1848,2432,1781,338238.6343704165,344025.50400481705,336989.5318577879,333529.629724783,183.02956405325568,141.4578552651386,1.316017316017316,189.2136619077978,187.27098805434196,0.9637445887445888,5786.869634400529,1.017108836916788
2023-02-18 08:00:00,304.0,200km+,24299,24847,22674,5386402.921893388,5725081.677939396,5344229.730872606,5689915.898523002,221.671793978904,230.41339710787605,1.0225523684102227,235.6985856431422,250.94451347459653,0.9331248199514384,338678.7560460083,1.0628766100414484
2023-02-18 08:00:00,304.0,25-50km,409,531,396,154315.16708007906,153757.36702502318,154002.440380968,151328.37541226178,377.2986970173082,289.5618964689702,1.2982885085574571,388.8950514670909,382.14236215217625,0.9682151589242054,-557.800055055879,0.9963853193071656
2023-02-18 08:00:00,304.0,50-100km,687,990,657,89362.02355379543,100675.10975686918,88338.86570779336,95021.90351496583,130.0757256969366,101.69203005744362,1.4410480349344978,134.45793867244043,144.62999012932394,0.9563318777292577,11313.086203073748,1.126598366433179
2023-02-19 08:00:00,328.0,0-25km,71,108,69,3048.560095529126,4460.502645721065,3023.765529736173,3927.6580510885588,42.93746613421305,41.300950423343195,1.5211267605633803,43.82268883675613,56.922580450558826,0.971830985915493,1411.942550191939,1.463150637004869
2023-02-19 08:00:00,328.0,100-200km,1761,2362,1699,330730.71622978966,345403.48298789473,329394.71777449147,334641.21844033053,187.8084703178817,146.23348136659388,1.3412833617262918,193.8756431868696,196.96363651579196,0.9647927314026121,14672.766758105077,1.0443646932022803
2023-02-19 08:00:00,328.0,200km+,23050,24065,21661,5282777.553824655,5762996.5204086155,5245163.890605119,5726125.660924868,229.18774636983318,239.4762734431172,1.0440347071583513,242.14781822654166,264.3518609909454,0.9397396963123644,480218.9665839607,1.0909027422962925
2023-02-19 08:00:00,328.0,25-50km,397,518,384,151743.77427858463,156719.61314489754,151085.79530987976,154180.161921185,382.22613168409225,302.5475157237404,1.3047858942065491,393.4525919528119,401.5108383364193,0.9672544080604534,4975.838866312901,1.0327910577548824
2023-02-19 08:00:00,328.0,50-100km,646,986,630,87089.80980974312,100901.3250534178,86705.6134437548,95292.30252512514,134.81394707390575,102.33400106837504,1.5263157894736843,137.62795784722985,151.25762305575418,0.9752321981424149,13811.515243674672,1.158589337533833
