k_ratio,gamma,n_valid,rho_alpha_delta_near,p_alpha_delta_near,rho_alpha_D_peak,p_alpha_D_peak
2.3181818181818183,0.36363636363636354,71,0.06234071093226022,0.6055254589859853,0.10596914822266933,0.37910704460233235
2.3181818181818183,0.6363636363636362,58,0.12608816020179028,0.34561626224315956,0.38337075886677535,0.002973063663919058
2.3181818181818183,0.909090909090909,58,0.04894029345719647,0.7152433082728964,0.2343043464886647,0.07667750015812244
2.3181818181818183,1.1818181818181817,52,0.3655767096388628,0.007697259290938798,0.2313668573380005,0.09887541836996638
2.3181818181818183,1.4545454545454541,50,0.23860744297719086,0.09516995647791031,0.23783913565426168,0.09627212471063697
2.3181818181818183,1.727272727272727,50,0.012533013205282113,0.9311614652647521,-0.03346938775510204,0.8175144823680135
2.3181818181818183,2.0,47,0.29417206290471787,0.04474015692028151,-0.08464384828862165,0.5716113668029615
2.5,-1.0,19,-0.41582518011274544,0.07661270424769939,-0.0543859649122807,0.8249897141619513
2.5,-0.7272727272727273,28,0.16584564860426929,0.39899037781128155,0.24137931034482757,0.2159300551204395
2.5,-0.4545454545454546,49,0.022959183673469385,0.8755711694036585,-0.22826530612244894,0.11467716929802857
2.5,-0.18181818181818188,76,-0.15991797676008201,0.16760937548359253,-0.7000956937799043,1.953508594470154e-12
2.5,0.09090909090909083,72,-0.02948742684417005,0.8057723887480928,0.25503247797286,0.030615268583184693
2.5,0.36363636363636354,68,-0.05118906745047143,0.678462659101758,0.34118410505019653,0.004409365116021613
2.5,0.6363636363636362,63,-0.054339477726574506,0.6723083182110698,0.3467261904761905,0.005371466790831401
2.5,0.909090909090909,63,-0.0081605222734255,0.9493873831772357,0.05222734254992319,0.684361929950592
2.5,1.1818181818181817,61,0.020835536753040715,0.8733683551443949,-0.12591221575885772,0.33358575156870984
2.5,1.4545454545454541,52,-0.03782122428071373,0.7900866609298139,0.15965166908563136,0.25824528221843085
