slug,r_bin_km,hours_since_peak,delta,n_tiles
flooding_in_central_and_eastern_europe_sept_16_2024,80.0,168.0,0.14198574240529815,1340.0
flooding_in_central_and_eastern_europe_sept_16_2024,90.0,168.0,0.12220762680210107,1451.0
flooding_in_central_and_eastern_europe_sept_16_2024,100.0,168.0,0.09220850002511405,1537.0
flooding_in_central_and_eastern_europe_sept_16_2024,110.0,168.0,0.1250630593053217,1697.0
flooding_in_central_and_eastern_europe_sept_16_2024,120.0,168.0,0.13328930442382858,1593.0
flooding_in_central_and_eastern_europe_sept_16_2024,130.0,168.0,0.1151953236441201,1736.0
flooding_in_central_and_eastern_europe_sept_16_2024,140.0,168.0,0.13551527822191178,1924.0
flooding_in_central_and_eastern_europe_sept_16_2024,150.0,168.0,0.15634808930678035,2071.0
flooding_in_central_and_eastern_europe_sept_16_2024,160.0,168.0,0.1914794366051511,2110.0
flooding_in_central_and_eastern_europe_sept_16_2024,170.0,168.0,0.16458420175933708,2083.0
flooding_in_central_and_eastern_europe_sept_16_2024,180.0,168.0,0.13228036738049576,2087.0
flooding_in_central_and_eastern_europe_sept_16_2024,190.0,168.0,0.1130347728724117,2127.0
flooding_in_central_and_eastern_europe_sept_16_2024,200.0,168.0,0.09954264898063969,2052.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.0,24.0,-0.34919352661287495,29.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,10.0,24.0,-0.12466338282488054,36.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,20.0,24.0,-0.1770375115239149,30.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,30.0,24.0,-0.07996422048349039,27.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,40.0,24.0,-0.0644414617062884,40.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,50.0,24.0,0.004959645168768789,58.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,60.0,24.0,-0.079803692728866,60.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,70.0,24.0,-0.09072582905438997,52.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,80.0,24.0,-0.05444412285868361,54.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,90.0,24.0,-0.02695067325789402,107.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,100.0,24.0,0.06215303035218489,100.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,110.0,24.0,0.03159632040132632,87.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,120.0,24.0,-0.10092781527873707,75.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,130.0,24.0,-0.18236148920219375,48.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,140.0,24.0,-0.01222843141495622,48.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,150.0,24.0,0.03234378632684631,48.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,160.0,24.0,0.04838127752248633,62.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,170.0,24.0,0.03272851904754437,89.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,180.0,24.0,0.01754480954599713,63.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,190.0,24.0,-0.008179052822786637,96.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,200.0,24.0,-0.03071123214865079,125.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.0,48.0,-0.252081929272444,29.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,10.0,48.0,-0.05857619293578964,37.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,20.0,48.0,-0.14934380840299544,30.0
