datetime,source,root,category,key,path,mtime,has_log,has_tables,has_figures
2026-02-09 23:11:52,anchor_file_mtime,outputs,cross_disaster,fr_mode_time0_72,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/fr_mode_time0_72,2026-02-09 23:11:52,1,1,1
2026-02-22 17:50:40,anchor_file_mtime,outputs,cross_disaster,dynamics_potential_nonparam_exp3_smoke,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_nonparam_exp3_smoke,2026-02-22 17:50:40,1,1,1
2026-02-22 17:50:40,anchor_file_mtime,outputs,cross_disaster,dynamics_potential_routeB_exp12,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_routeB_exp12,2026-02-22 17:50:40,1,1,0
2026-02-22 17:50:40,anchor_file_mtime,outputs,cross_disaster,dynamics_potential_routeB_exp12_nonparam_smoke,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_routeB_exp12_nonparam_smoke,2026-02-22 17:50:40,1,1,0
2026-02-22 17:50:40,anchor_file_mtime,outputs,cross_disaster,dynamics_potential_routeB_nonparam_exp12_strict_smoke,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_routeB_nonparam_exp12_strict_smoke,2026-02-22 17:50:40,1,1,0
2026-02-22 17:50:40,anchor_file_mtime,outputs,cross_disaster,dynamics_potential_routeB_nonparam_exp3,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_routeB_nonparam_exp3,2026-02-22 17:50:40,1,1,1
2026-02-22 17:50:40,anchor_file_mtime,outputs,cross_disaster,dynamics_potential_smoke,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_smoke,2026-02-22 17:50:40,1,1,1
2026-02-22 17:50:40,anchor_file_mtime,outputs,cross_disaster,dynamics_potential_smoke2,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_smoke2,2026-02-22 17:50:40,1,1,1
2026-02-22 17:50:40,dir_mtime,outputs,cross_disaster,external_covariates,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/external_covariates,2026-02-22 17:50:40,0,1,0
2026-02-22 17:50:40,anchor_file_mtime,outputs,cross_disaster,fr_mode_time0_72_nojohn,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/fr_mode_time0_72_nojohn,2026-02-22 17:50:40,1,1,1
2026-02-22 17:50:40,dir_mtime,outputs,cross_disaster,g1_timeseries_viz_helene_milton_nojohn,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/g1_timeseries_viz_helene_milton_nojohn,2026-02-22 17:50:40,0,1,1
2026-02-22 17:50:40,anchor_file_mtime,outputs,cross_disaster,movement_analysis,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/movement_analysis,2026-02-22 17:50:40,1,1,1
2026-02-22 17:50:40,dir_mtime,outputs,cross_disaster,nonlinear_pde,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/nonlinear_pde,2026-02-22 17:50:40,0,1,1
2026-02-22 17:50:40,anchor_file_mtime,outputs,cross_disaster,rank1_dynamics_sigma070_min4_nojohn,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/rank1_dynamics_sigma070_min4_nojohn,2026-02-22 17:50:40,1,1,1
2026-02-22 17:50:40,anchor_file_mtime,outputs,cross_disaster,rank1_dynamics_sigma090_min4_fill,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/rank1_dynamics_sigma090_min4_fill,2026-02-22 17:50:40,1,1,1
2026-02-22 17:50:40,anchor_file_mtime,outputs,cross_disaster,spatial_diffusion_results,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/spatial_diffusion_results,2026-02-22 17:50:40,1,1,1
2026-02-22 20:04:34,dir_mtime,outputs,run_batch,dfg_collection,/mnt/e/newdesktop/Disaster/outputs/_runs/dfg_collection,2026-02-22 20:04:34,0,0,0
2026-02-22 20:05:38,anchor_file_mtime,outputs,run_batch,logs,/mnt/e/newdesktop/Disaster/outputs/_runs/wsa_full_pipeline_mnt_20260222_200540/logs,2026-02-22 20:13:10,1,0,0
2026-02-22 20:05:40,name_timestamp,outputs,run_batch,wsa_full_pipeline_mnt,/mnt/e/newdesktop/Disaster/outputs/_runs/wsa_full_pipeline_mnt_20260222_200540,2026-02-22 20:05:35,1,0,0
2026-02-22 20:12:32,anchor_file_mtime,outputs,cross_disaster,Dt_decay,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay,2026-02-22 19:00:30,1,1,1
2026-02-22 20:13:10,anchor_file_mtime,outputs,cross_disaster,dynamics_potential_all,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_all,2026-02-22 20:13:10,1,1,1
2026-02-22 20:13:43,anchor_file_mtime,outputs,cross_disaster,dynamics_potential_routeB,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/dynamics_potential_routeB,2026-02-22 20:13:43,1,1,1
2026-02-22 23:18:28,anchor_file_mtime,outputs,cross_disaster,geo_unit_scale_routeB_L10,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB_L10,2026-02-22 23:19:48,1,1,0
2026-02-23 00:00:00,name_timestamp,outputs,run_batch,expanded_current_h0816,/mnt/e/newdesktop/Disaster/outputs/_runs/expanded_current_h0816_20260223,2026-02-23 13:58:51,1,0,0
2026-02-23 00:00:00,name_timestamp,outputs,run_batch,expanded_current_static_h0816,/mnt/e/newdesktop/Disaster/outputs/_runs/expanded_current_static_h0816_20260223,2026-02-23 14:06:29,1,0,0
2026-02-23 00:00:00,name_timestamp,outputs,run_batch,main_current_h0816,/mnt/e/newdesktop/Disaster/outputs/_runs/main_current_h0816_20260223,2026-02-23 13:57:03,1,0,0
2026-02-23 00:00:00,name_timestamp,outputs,run_batch,routeB16_config_main,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_config_main_20260223,2026-02-23 17:14:13,0,0,0
2026-02-23 00:00:00,name_timestamp,outputs,run_batch,routeB16_groundtruth,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_groundtruth_20260223,2026-02-23 21:41:30,0,0,0
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,Dt_decay_42audit,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_42audit_20260223,2026-02-23 21:03:41,1,1,1
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,Dt_decay_42audit_fullpost,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_42audit_fullpost_20260223,2026-02-23 21:20:42,0,1,1
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,Dt_decay_AB_newHEAD_on_h0816,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_AB_newHEAD_on_h0816_20260223,2026-02-23 10:46:48,1,1,1
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,Dt_decay_AB_old008a4f5_on_h0816,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_AB_old008a4f5_on_h0816_20260223,2026-02-23 10:46:09,1,1,1
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,Dt_decay_config_main,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_config_main_20260223,2026-02-23 17:10:38,1,1,1
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,Dt_decay_expanded_current_static_h0816,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_expanded_current_static_h0816_20260223,2026-02-23 14:06:59,1,1,1
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,Dt_decay_main_current_h0816,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_main_current_h0816_20260223,2026-02-23 13:57:33,1,1,1
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,Dt_decay_routeB16_config_main,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_config_main_20260223,2026-02-23 17:12:03,1,1,1
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,Dt_decay_routeB16_groundtruth,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_groundtruth_20260223,2026-02-23 21:41:56,1,1,1
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,Dt_decay_truncation_compare,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_truncation_compare_20260223,2026-02-23 17:09:02,1,1,0
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,Dt_decay_truncation_compare_partner,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_truncation_compare_partner_20260223,2026-02-23 17:23:37,1,1,0
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,geo_unit_scale_routeB16_config_main_L10,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_config_main_L10_20260223,2026-02-23 17:17:09,1,1,0
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,phi_AB_old_vs_new_h0816,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/phi_AB_old_vs_new_h0816_20260223,2026-02-23 10:54:39,0,0,0
2026-02-23 00:00:00,name_timestamp,outputs,cross_disaster,routeB16_postgate_config_main,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_postgate_config_main_20260223,2026-02-23 17:15:22,0,0,0
2026-02-23 00:12:47,name_timestamp,outputs,run_batch,unified_radial8h,/mnt/e/newdesktop/Disaster/outputs/_runs/unified_radial8h_20260223_001247,2026-02-23 00:15:59,1,0,0
2026-02-23 00:12:47,name_timestamp,outputs,cross_disaster,Dt_decay_unified_radial8h,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_unified_radial8h_20260223_001247,2026-02-23 00:16:44,1,1,1
2026-02-23 10:12:20,name_timestamp,outputs,run_batch,routeB16_frozen_radial,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_frozen_radial_20260223_101220,2026-02-23 10:13:24,1,0,0
2026-02-23 10:12:20,name_timestamp,outputs,cross_disaster,Dt_decay_routeB16_frozen,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_frozen_20260223_101220,2026-02-23 10:13:39,1,1,1
2026-02-23 10:12:20,name_timestamp,outputs,cross_disaster,routeB16_frozen_postgate,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_frozen_postgate_20260223_101220,2026-02-23 10:13:40,0,0,0
2026-02-23 10:16:24,name_timestamp,outputs,run_batch,routeB16_frozen_radial_h0816,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_frozen_radial_h0816_20260223_101624,2026-02-23 10:18:43,1,0,0
2026-02-23 10:16:24,name_timestamp,outputs,cross_disaster,Dt_decay_routeB16_frozen_h0816,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_frozen_h0816_20260223_101624,2026-02-23 10:18:59,1,1,1
2026-02-23 10:16:24,name_timestamp,outputs,cross_disaster,routeB16_frozen_postgate_h0816,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_frozen_postgate_h0816_20260223_101624,2026-02-23 10:19:00,0,0,0
2026-02-23 10:50:10,name_timestamp,outputs,run_batch,phi_AB_old008a4f5_routeB16_h0816,/mnt/e/newdesktop/Disaster/outputs/_runs/phi_AB_old008a4f5_routeB16_h0816_20260223_105010,2026-02-23 10:53:40,1,0,0
2026-02-23 11:55:08,anchor_file_mtime,outputs,run_batch,routeB16_legacy_repro_pinned,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_legacy_repro_pinned,2026-02-23 11:55:04,1,0,0
2026-02-23 11:55:08,anchor_file_mtime,outputs,run_batch,routeB16_legacy_repro,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_legacy_repro,2026-02-23 11:55:04,1,0,0
2026-02-23 11:55:29,anchor_file_mtime,outputs,cross_disaster,Dt_decay_routeB16_legacy_repro,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_legacy_repro,2026-02-23 11:55:41,1,1,1
2026-02-23 11:56:05,dir_mtime,outputs,cross_disaster,routeB16_legacy_repro_postgate,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_legacy_repro_postgate,2026-02-23 11:56:05,0,0,0
2026-02-23 11:58:15,anchor_file_mtime,outputs,cross_disaster,Dt_decay_routeB16_legacy_repro_pinned,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/Dt_decay_routeB16_legacy_repro_pinned,2026-02-23 11:58:27,1,1,1
2026-02-23 11:58:42,dir_mtime,outputs,cross_disaster,routeB16_legacy_repro_pinned_postgate,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_legacy_repro_pinned_postgate,2026-02-23 11:58:42,0,0,0
2026-02-23 12:00:11,anchor_file_mtime,outputs,cross_disaster,geo_unit_scale_routeB16_legacy_repro_L10,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_legacy_repro_L10,2026-02-23 11:59:17,1,1,0
2026-02-23 12:00:58,dir_mtime,outputs,cross_disaster,routeB16_frozen_h0816_postgate,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_frozen_h0816_postgate,2026-02-23 12:00:58,0,0,0
2026-02-23 12:03:57,anchor_file_mtime,outputs,cross_disaster,geo_unit_scale_routeB16_main_current_h0816_L10,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/geo_unit_scale_routeB16_main_current_h0816_L10,2026-02-23 12:03:15,1,1,0
2026-02-23 13:57:54,dir_mtime,outputs,cross_disaster,routeB16_main_current_h0816_20260223_postgate,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_main_current_h0816_20260223_postgate,2026-02-23 13:57:54,0,0,0
